Measure:volume	f020	f021	f023	f025	f026	f029	f118	f120	f122	f123	f124	f125	f018	f223	f224	f323
Left-Lateral-Ventricle	0.398807	0.445042	0.415139	0.290417	0.867544	0.981337	0.260135	0.313772	0.403144	0.345107	0.481799	0.415218	0.231331	0.314404	0.365262	0.384006
Left-Inf-Lat-Vent	0.00499093	0.00905601	0.0316519	0.00920013	0.0278548	0.0204216	0.00809826	0.0108047	0.00926049	0.0168528	0.0103946	0.0097584	0.00492049	0.00666292	0.0213403	0.0156376
Left-Cerebellum-White-Matter	1.03145	1.11991	1.06496	1.03088	1.24363	1.02145	1.12242	1.0149	1.2683	1.01412	1.2458	0.942164	0.898555	1.16165	1.10039	1.03679
Left-Cerebellum-Cortex	3.74658	3.50936	3.25723	4.30046	3.31839	4.10517	3.15179	4.05358	3.88179	3.80914	3.65876	3.57357	3.64258	4.10715	3.80338	4.00476
Left-Thalamus-Proper	0.636741	0.553656	0.565992	0.617195	0.654186	0.498715	0.4941	0.619642	0.553695	0.544316	0.516524	0.562165	0.636692	0.695613	0.635318	0.699268
Left-Caudate	0.255792	0.318974	0.236249	0.258909	0.300466	0.246392	0.227174	0.303028	0.282175	0.270909	0.230692	0.251604	0.302468	0.296714	0.274474	0.240508
Left-Putamen	0.336086	0.368391	0.307855	0.371481	0.40021	0.365819	0.302675	0.408919	0.324537	0.296311	0.339473	0.282472	0.314167	0.35015	0.418132	0.341114
Left-Pallidum	0.131535	0.136607	0.138574	0.137373	0.14891	0.137218	0.135611	0.165721	0.1289	0.126814	0.138016	0.133067	0.162038	0.140244	0.146953	0.166451
3rd-Ventricle	0.0624145	0.0493508	0.0615445	0.0489573	0.0661569	0.0581621	0.0359607	0.0532846	0.067768	0.0421145	0.0559862	0.0394908	0.043454	0.0485531	0.0506571	0.076104
4th-Ventricle	0.158225	0.206083	0.10451	0.116991	0.0838115	0.143889	0.0767582	0.139639	0.154071	0.109645	0.148068	0.0971982	0.105932	0.169866	0.149406	0.108597
Brain-Stem	1.18334	1.14745	1.14783	1.34975	1.22772	1.4081	1.18134	1.43529	1.26549	1.15999	1.44493	1.2837	1.17422	1.53266	1.28835	1.41751
Left-Hippocampus	0.247121	0.305699	0.253583	0.322382	0.272018	0.290613	0.245547	0.296285	0.273633	0.296191	0.266825	0.265841	0.286237	0.326952	0.283645	0.335148
Left-Amygdala	0.0800988	0.101047	0.0771688	0.109568	0.110191	0.0979335	0.0814835	0.102333	0.111332	0.0968072	0.0883427	0.0851967	0.112365	0.107931	0.10323	0.108509
CSF	0.0658579	0.0440264	0.0646318	0.0655568	0.0798937	0.0916998	0.0521239	0.0785058	0.0569286	0.0610379	0.0593901	0.0553	0.0718452	0.0697329	0.0617682	0.077623
Left-Accumbens-area	0.0345671	0.0352432	0.0235025	0.0275689	0.0205558	0.0184401	0.0185676	0.0308827	0.037426	0.0214924	0.02663	0.0330114	0.040145	0.0299376	0.0341188	0.0198791
Left-VentralDC	0.293266	0.262735	0.265411	0.302543	0.25843	0.277511	0.24877	0.289335	0.281044	0.260977	0.299128	0.268942	0.267767	0.323575	0.285136	0.324046
Left-vessel	0	0	0	0.00193439	0	0.000479513	0.00192577	0	0.0057398	0.00038605	0.00104327	0.001093	0	0.000679604	0.000769597	0
Left-choroid-plexus	0.029604	0.0160914	0.0196364	0.0237473	0.0444646	0.0475705	0.00764186	0.0174872	0.0210175	0.0244124	0.0349685	0.0096941	0.00625517	0.0185805	0.0386482	0.0262192
Right-Lateral-Ventricle	0.348236	0.458531	0.323319	0.300294	1.49075	0.556552	0.27228	0.510284	0.45439	0.366649	0.363636	0.560922	0.187034	0.325145	0.346984	0.397119
Right-Inf-Lat-Vent	0.00947997	0.0390338	0.0159441	0.00572453	0.0240571	0.00753823	0.0165694	0.0170072	0.0153275	0.0176039	0.01836	0.00785101	0.0167297	0.00627057	0.0448611	0.0340124
Right-Cerebellum-White-Matter	0.980961	1.17775	0.872957	1.00417	0.742748	0.939458	0.897187	1.31361	1.32027	0.946727	0.960629	1.18178	0.913298	1.01945	0.806057	1.60469
Right-Cerebellum-Cortex	3.54831	3.69008	3.48278	4.20359	3.68387	4.18463	3.22999	3.84336	4.11345	3.56428	3.86315	3.21111	3.80012	3.98181	3.87148	3.60996
Right-Thalamus-Proper	0.530809	0.516731	0.507181	0.474263	0.534352	0.438931	0.462892	0.504973	0.514405	0.480302	0.504401	0.437478	0.529494	0.546331	0.505954	0.545563
Right-Caudate	0.276822	0.281009	0.208727	0.246902	0.272364	0.256088	0.237916	0.293618	0.268611	0.283711	0.224295	0.248096	0.310741	0.283234	0.279332	0.256997
Right-Putamen	0.395754	0.389224	0.318827	0.405105	0.419897	0.357103	0.328372	0.45764	0.366607	0.316006	0.334272	0.310004	0.387482	0.386582	0.435728	0.412889
Right-Pallidum	0.141844	0.132743	0.120085	0.145394	0.155616	0.123771	0.142774	0.176968	0.131539	0.140929	0.127484	0.119287	0.143832	0.143228	0.157527	0.136358
Right-Hippocampus	0.244737	0.290309	0.262977	0.317955	0.291487	0.309815	0.268317	0.278363	0.28327	0.288625	0.284271	0.249982	0.313896	0.334232	0.271676	0.309839
Right-Amygdala	0.0982153	0.109963	0.0977439	0.129297	0.127111	0.121133	0.110314	0.123089	0.121197	0.11399	0.103322	0.102577	0.13679	0.129622	0.124122	0.108216
Right-Accumbens-area	0.0330056	0.039786	0.0357544	0.041322	0.0385562	0.0271348	0.0306732	0.0419008	0.0355697	0.033102	0.0352198	0.0367976	0.0518066	0.0400896	0.0388646	0.0283767
Right-VentralDC	0.250508	0.263148	0.238877	0.245801	0.259926	0.23872	0.205902	0.250429	0.265916	0.214651	0.291818	0.225893	0.276574	0.25055	0.281632	0.260152
Right-vessel	0.000836468	0	0	0.00243764	0	0	0.000517621	0.000723872	0.00215509	0.00127045	0.00164486	0.0017788	0	0.00150634	0.000801663	0.000491657
Right-choroid-plexus	0.0312769	0.0184734	0.0190662	0.0285125	0.0581944	0.0347435	0.0135416	0.0335191	0.0297374	0.0189164	0.0382201	0.0219528	0.00765751	0.031465	0.0630669	0.0236729
5th-Ventricle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WM-hypointensities	0.0645614	0.0297934	0.0216529	0.0202482	0.0917246	0.074938	0.0307344	0.0185692	0.0221839	0.0188041	0.0235687	0.0216314	0.0610263	0.0470958	0.0304712	0.0271732
Left-WM-hypointensities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Right-WM-hypointensities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
non-WM-hypointensities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Left-non-WM-hypointensities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Right-non-WM-hypointensities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Optic-Chiasm	0.0153422	0.0119616	0.0102702	0.0114726	0.00737665	0.0105493	0.00877729	0.0101494	0.0121837	0.0130344	0.0115216	0.00839394	0.00580617	0.0121908	0.0124338	0.0154028
CC_Posterior	0.0667293	0.069985	0.0615097	0.0614522	0.0855833	0.0814819	0.0757118	0.0788487	0.0646172	0.0767747	0.078603	0.0706591	0.0634497	0.0901911	0.0636681	0.0662636
CC_Mid_Posterior	0.0369719	0.0490632	0.0326531	0.0386406	0.0437164	0.0452576	0.0473762	0.0402168	0.0272765	0.0430691	0.0415632	0.0425412	0.0373957	0.0503537	0.0395861	0.0370871
CC_Central	0.0515752	0.0406267	0.045656	0.0492325	0.0347867	0.0519637	0.0587138	0.0399425	0.0497378	0.0586023	0.0389969	0.0357117	0.0528891	0.0523855	0.0482601	0.0353186
CC_Mid_Anterior	0.0423114	0.0452874	0.055794	0.0411096	0.029669	0.0351737	0.0543335	0.0361631	0.0411957	0.0552683	0.0404133	0.0336686	0.0513699	0.0440131	0.033734	0.0320971
CC_Anterior	0.0617662	0.074749	0.0710985	0.0749929	0.0820961	0.0749169	0.0677805	0.0692479	0.0613028	0.0721772	0.0613776	0.0747525	0.0531536	0.08556	0.0514107	0.0581843
BrainSegVol	73.5955	80.4565	74.2004	73.8053	75.9803	78.6314	78.1615	74.8236	78.8401	77.619	76.307	78.1631	80.3205	79.7778	75.631	80.0068
BrainSegVolNotVent	72.5242	79.213	73.1841	72.9636	73.2539	76.7261	77.4633	73.7111	77.6661	76.6628	75.1432	76.9834	79.6923	78.8342	74.5343	78.9066
BrainSegVolNotVentSurf	72.4366	79.173	73.0745	72.9161	73.1512	76.6358	77.4045	73.6619	77.6347	76.6315	75.108	76.9352	79.6431	78.7522	74.4603	78.8315
lhCortexVol	15.7169	17.7828	16.1355	15.922	16.5337	15.8676	16.8645	15.7392	16.6964	16.7287	16.055	16.6076	17.6286	16.7231	17.0742	17.173
rhCortexVol	16.3931	17.8579	16.2523	15.875	16.5604	15.6533	16.9594	15.7256	16.6391	16.8795	16.1076	16.5746	17.4149	16.6783	17.1886	17.1313
CortexVol	32.11	35.6408	32.3877	31.797	33.0941	31.5209	33.8239	31.4648	33.3355	33.6082	32.1626	33.1821	35.0435	33.4014	34.2628	34.3043
lhCerebralWhiteMatterVol	13.2164	14.8485	14.1883	13.1385	13.3645	15.1481	15.762	13.5627	14.8444	14.9197	14.7666	15.3609	15.4662	15.0792	13.0336	14.6664
rhCerebralWhiteMatterVol	13.567	14.8857	14.0236	13.1102	13.2271	15.6101	15.6993	13.8548	14.7773	14.8587	14.4809	15.6723	15.4213	15.4777	13.2032	15.1424
CerebralWhiteMatterVol	26.7834	29.7342	28.2119	26.2487	26.5916	30.7581	31.4613	27.4175	29.6217	29.7784	29.2475	31.0332	30.8875	30.5569	26.2368	29.8089
SubCortGrayVol	4.08873	4.18708	3.73585	4.25078	4.40969	3.94357	3.64116	4.50355	4.05371	3.87411	3.92634	3.72098	4.36755	4.51586	4.39777	4.41559
TotalGrayVol	43.6983	47.168	42.9668	44.6771	44.6368	44.0422	43.9104	43.958	45.4231	44.945	43.7652	43.8213	46.9999	46.1138	46.3863	46.4205
SupraTentorialVol	64.0796	70.8161	65.3551	63.1875	66.9332	68.2026	69.633	64.4028	68.1203	68.2294	66.4093	69.145	70.9723	69.3485	65.9234	69.6336
SupraTentorialVolNotVent	63.2856	69.8623	64.5644	62.5662	64.4385	66.5807	69.0897	63.5497	67.2139	67.477	65.4943	68.1473	70.5599	68.6829	65.0732	68.7892
SupraTentorialVolNotVentVox	63.0569	69.5957	64.4368	62.3375	64.1916	66.3015	68.9812	63.4241	67.0392	67.2841	65.362	67.9794	70.3447	68.5458	64.963	68.595
MaskVol	104.06	106.02	103.481	100.799	102.086	108.346	105.451	105.551	109.193	105.52	107.282	106.33	109.9	106.974	99.9329	108.406
BrainSegVol-to-eTIV	0.735955	0.804565	0.742004	0.738053	0.759803	0.786314	0.781615	0.748236	0.788401	0.77619	0.76307	0.781631	0.803205	0.797778	0.75631	0.800068
MaskVol-to-eTIV	1.0406	1.0602	1.03481	1.00799	1.02086	1.08346	1.05451	1.05551	1.09193	1.0552	1.07282	1.0633	1.099	1.06974	0.999329	1.08406
lhSurfaceHoles	81	65	76	65	66	60	78	44	41	79	45	57	82	28	54	50
rhSurfaceHoles	54	66	84	68	55	58	90	47	56	76	46	58	72	34	56	74
SurfaceHoles	135	131	160	133	121	118	168	91	97	155	91	115	154	62	110	124
EstimatedTotalIntraCranialVol	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
