Measure:volume	f046	f047	f048	f050	f052	f054	f056	f147	f149	f152	f249	f252	f349
Left-Lateral-Ventricle	0.548989	0.398542	0.536825	0.507587	0.511957	0.583127	0.59114	0.787271	0.351826	0.780232	0.305822	0.478014	0.70684
Left-Inf-Lat-Vent	0.0147246	0.0334874	0.0137612	0.0169689	0.0188626	0.0259546	0.0215163	0.0336628	0.00953653	0.0255315	0.00298165	0.0107804	0.00694213
Left-Cerebellum-White-Matter	0.938475	0.891136	0.952304	1.13801	1.0976	1.82407	0.927383	1.18236	0.871413	0.917525	1.27335	2.4814	1.92223
Left-Cerebellum-Cortex	3.6468	3.37096	2.98741	4.07809	3.95956	3.3029	3.31258	3.38894	3.42352	4.23234	3.66076	4.23295	4.19073
Left-Thalamus-Proper	0.519162	0.522285	0.618914	0.571685	0.593248	0.593467	0.503728	0.566976	0.514191	0.45644	0.628606	0.627161	0.581508
Left-Caudate	0.249414	0.184785	0.283495	0.271464	0.264815	0.235478	0.218947	0.25525	0.234843	0.225549	0.266492	0.236861	0.258726
Left-Putamen	0.291064	0.296197	0.279867	0.379467	0.303532	0.27806	0.301666	0.298676	0.31982	0.314893	0.338295	0.333014	0.319003
Left-Pallidum	0.131815	0.111734	0.100015	0.153714	0.155524	0.115651	0.133164	0.139261	0.134627	0.119566	0.123664	0.127908	0.132662
3rd-Ventricle	0.0655442	0.0479736	0.0524881	0.0446182	0.061088	0.0711817	0.089694	0.0723562	0.0549953	0.0616431	0.0500782	0.0667884	0.0806156
4th-Ventricle	0.114203	0.0766117	0.135642	0.0825612	0.175672	0.163979	0.129711	0.137595	0.128307	0.0907968	0.0805588	0.10457	0.154068
Brain-Stem	1.27655	1.34379	1.23737	1.46435	1.45673	1.18472	1.32327	1.37632	1.33762	1.34407	1.57892	1.61235	1.6105
Left-Hippocampus	0.267814	0.285947	0.270219	0.292825	0.314399	0.267457	0.281611	0.27996	0.273624	0.243321	0.267732	0.258372	0.274629
Left-Amygdala	0.0963583	0.0813062	0.087036	0.112926	0.0873848	0.0909261	0.105697	0.0894284	0.0991274	0.103533	0.0853565	0.0838728	0.0870624
